customerID,gender,AgeGroup,Partner,CLTV,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,PaymentMethod,tenure,MonthlyCharges,TotalCharges,Contract,Churn Reason,Churn
1830-GGFNM,Male,Middle Age (30–59),True,4603,True,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,False,Credit card (automatic),65,94.55,6078.75,Two year,-,False
4501-VCPFK,Male,Under 30,False,2734,False,No phone service,DSL,No,No,Yes,Yes,No,No,False,Electronic check,26,35.75,1022.5,Month-to-month,-,False
8871-JLMHM,Female,Under 30,True,4095,True,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,False,Credit card (automatic),68,90.2,6297.65,Two year,-,False
0225-ZORZP,Male,Middle Age (30–59),False,5828,True,No,Fiber optic,No,Yes,No,No,No,Yes,False,Electronic check,3,84.3,235.05,Month-to-month,-,False
1530-ZTDOZ,Female,Middle Age (30–59),True,5565,False,No phone service,DSL,Yes,No,No,No,Yes,No,False,Bank transfer (automatic),49,40.65,2070.75,Month-to-month,-,False
4654-DLAMQ,Female,Senior (≥ 60),True,4053,True,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,False,Bank transfer (automatic),64,97.0,6430.9,One year,-,False
7319-VENRZ,Male,Under 30,False,4010,True,No,DSL,No,No,Yes,Yes,Yes,No,False,Bank transfer (automatic),7,64.3,445.95,Month-to-month,-,False
5482-VXSXJ,Male,Middle Age (30–59),False,4093,True,No,Fiber optic,No,Yes,No,No,Yes,Yes,True,Mailed check,22,93.2,2157.3,Month-to-month,-,False
5012-YSPJJ,Male,Under 30,True,3615,True,No,DSL,No,No,Yes,Yes,No,No,False,Mailed check,31,54.35,1647.0,Month-to-month,-,False
9239-ZBZZV,Female,Under 30,False,2240,False,No phone service,DSL,No,No,Yes,No,Yes,Yes,True,Electronic check,6,47.95,305.1,Month-to-month,Competitor had better devices,True
3308-MHOOC,Male,Middle Age (30–59),False,3383,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,True,Mailed check,1,19.2,19.2,Month-to-month,-,False
6400-BWQKW,Female,Middle Age (30–59),False,3263,True,Yes,Fiber optic,Yes,No,No,No,No,No,True,Electronic check,6,79.05,434.5,Month-to-month,Network reliability,True
8104-OSKWT,Female,Middle Age (30–59),False,5906,True,Yes,Fiber optic,Yes,No,No,No,No,No,True,Electronic check,12,79.8,1001.2,Month-to-month,-,False
4220-TINQT,Female,Middle Age (30–59),True,5632,True,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,True,Electronic check,61,106.35,6751.35,Month-to-month,-,False
